send	data	#1,	winSize = 1
recv	ack	#1,	sack	#1
send	data	#2,	winSize = 2
send	data	#3,	winSize = 2
recv	ack	#1,	sack	#1
recv	ack	#1,	sack	#3
send	data	#4,	winSize = 2
recv	ack	#1,	sack	#4
send	data	#5,	winSize = 2
resnd	data	#2,	winSize = 2
recv	ack	#1,	sack	#5
send	data	#6,	winSize = 2
recv	ack	#5,	sack	#2
send	data	#7,	winSize = 3
send	data	#8,	winSize = 3
recv	ack	#5,	sack	#5
recv	ack	#5,	sack	#7
send	data	#9,	winSize = 3
recv	ack	#5,	sack	#8
send	data	#10,	winSize = 3
resnd	data	#6,	winSize = 3
recv	ack	#5,	sack	#5
recv	ack	#8,	sack	#6
send	data	#11,	winSize = 4
send	data	#12,	winSize = 4
recv	ack	#8,	sack	#12
send	data	#13,	winSize = 4
recv	ack	#8,	sack	#13
send	data	#14,	winSize = 4
recv	ack	#8,	sack	#14
send	data	#15,	winSize = 4
resnd	data	#9,	winSize = 4
recv	ack	#8,	sack	#15
send	data	#16,	winSize = 4
recv	ack	#9,	sack	#9
send	data	#17,	winSize = 5
send	data	#18,	winSize = 5
recv	ack	#9,	sack	#16
send	data	#19,	winSize = 5
recv	ack	#9,	sack	#17
send	data	#20,	winSize = 5
recv	ack	#9,	sack	#18
send	data	#21,	winSize = 5
resnd	data	#10,	winSize = 5
recv	ack	#9,	sack	#19
send	data	#22,	winSize = 5
recv	ack	#9,	sack	#20
send	data	#23,	winSize = 5
recv	ack	#9,	sack	#21
send	data	#24,	winSize = 5
recv	ack	#10,	sack	#10
send	data	#25,	winSize = 6
send	data	#26,	winSize = 6
recv	ack	#10,	sack	#22
send	data	#27,	winSize = 6
recv	ack	#10,	sack	#23
send	data	#28,	winSize = 6
recv	ack	#10,	sack	#24
send	data	#29,	winSize = 6
resnd	data	#11,	winSize = 6
recv	ack	#10,	sack	#25
send	data	#30,	winSize = 6
recv	ack	#10,	sack	#26
send	data	#31,	winSize = 6
recv	ack	#10,	sack	#27
send	data	#32,	winSize = 6
recv	ack	#10,	sack	#28
send	data	#33,	winSize = 6
recv	ack	#10,	sack	#29
send	data	#34,	winSize = 6
recv	ack	#29,	sack	#11
send	data	#35,	winSize = 7
send	data	#36,	winSize = 7
